property_id,abstract_time,total_time,size,1_1
19,0,1.249803543,310,
property_id,abstract_time,total_time,size,4_5
0,0,1.021528006,310,
1,0,1.08514142,310,
2,1.887627363,1.967763662,113,
3,2.168437004,2.484113455,114,
4,0,1.204168558,310,
5,0,1.191484213,310,
6,0,1.141706705,310,
7,0,1.022934675,310,
8,0,0.949965715,310,
9,1.846383095,2.001971245,106,
10,0,1.037659645,310,
11,0,1.005784512,310,
12,0,0.970260143,310,
13,2.023957968,7.67833972,180,
14,0,0.9980762,310,
15,1.788781404,1.895331383,104,
16,0,0.902122259,310,
17,0,1.15314579,310,
18,0,1.119094849,310,
19,0,1.003836155,310,
property_id,abstract_time,total_time,size,4_6
0,0,1.084660053,310,
1,0,1.001134872,310,
2,0,0.985524178,310,
3,2.423567772,3.985123158,134,
4,0,0.995829344,310,
5,0,1.036790609,310,
6,0,1.089636326,310,
7,1.982967377,2.22129035,124,
8,0,1.112282991,310,
9,0,1.081336975,310,
10,0,1.096196413,310,
11,0,1.058401108,310,
12,0,1.239820719,310,
13,0,1.00896883,310,
14,1.640129805,1.82121706,117,
15,0,1.111838579,310,
16,0,1.04244113,310,
17,0,0.940079451,310,
18,0,0.985974312,310,
19,0,1.088028431,310,
property_id,abstract_time,total_time,size,4_7
0,0,1.055398464,310,
1,0,1.131126642,310,
2,0,1.189833879,310,
3,1.625572205,9.166121483,181,
4,0,0.963577032,310,
5,0,1.163067102,310,
6,0,1.434403181,310,
7,1.715206623,2.345763683,148,
8,0,1.044695377,310,
9,1.624879837,1.768936634,140,
10,,3600,,
11,0,1.103688955,310,
12,0,1.069973946,310,
13,0,0.983526468,310,
14,0,0.898231745,310,
15,1.751475573,3.223243237,125,
16,0,0.956976414,310,
17,0,1.114090919,310,
18,0,1.037892342,310,
19,0,1.127035856,310,
property_id,abstract_time,total_time,size,4_8
0,1.547996759,1.64971137,102,
1,0,0.906615496,310,
2,0,0.908251286,310,
3,2.85650754,4.292621374,214,
4,0,0.918106079,310,
5,0,1.129062653,310,
6,0,0.945482254,310,
7,0,0.92540884,310,
8,0,0.9325037,310,
9,2.263617277,3.153743982,156,
10,0,0.923659801,310,
11,0,1.123450756,310,
12,0,0.973322392,310,
13,0,0.857290745,310,
14,0,0.838151932,310,
15,0,0.944714785,310,
16,0,1.115069389,310,
17,0,0.937343121,310,
18,0,0.95139122,310,
19,0,1.069404602,310,
property_id,abstract_time,total_time,size,4_9
0,0,0.97641468,310,
1,0,0.998011112,310,
2,0,0.962613583,310,
3,1.923967123,12.48500991,165,
4,0,0.811750174,310,
5,2.378134251,2.676007748,145,
6,0,1.158768654,310,
7,0,1.06089735,310,
8,0,1.075586319,310,
9,1.996645927,11.45023108,139,
10,2.163400888,2.298501015,136,
11,1.561838627,2.222927809,103,
12,0,1.148108959,310,
13,1.354430914,1.424862623,99,
14,0,1.141043901,310,
15,0,1.044578075,310,
16,0,1.052998781,310,
17,0,1.12701416,310,
18,0,1.091408253,310,
19,0,1.100319386,310,
property_id,abstract_time,total_time,size,5_1
0,1.369205713,1.431551218,97,
1,0,0.973786831,310,
2,0,0.999111652,310,
3,1.922135115,13.05113435,167,
4,0,0.956287146,310,
5,1.503562212,1.660539865,90,
6,0,0.89086318,310,
7,0,0.981206656,310,
8,0,1.021858454,310,
9,2.07179451,2.138476133,95,
10,0,0.827103615,310,
11,0,1.394421339,310,
12,0,1.015338659,310,
13,0,0.937569857,310,
14,1.829290628,1.882757902,82,
15,2.023039579,3.969038486,126,
16,0,1.018815041,310,
17,0,0.94847703,310,
18,0,1.066278219,310,
19,0,1.074521065,310,
property_id,abstract_time,total_time,size,5_2
0,0,1.361538172,168,
1,0,1.425190687,138,
2,0,1.376758575,165,
3,0,1.417552233,191,
4,0,1.688338518,160,
5,0,1.458921909,157,
6,0,1.54527688,143,
7,0,1.646434784,166,
8,0,1.582935333,129,
9,0,1.472530365,174,
10,0,2.278701067,168,
11,0,1.873303413,164,
12,0,1.445220232,143,
13,0,1.485689878,171,
14,0,1.56451726,156,
15,0,1.645261049,263,
16,0,1.684646368,164,
17,0,1.572370768,160,
18,0,1.588999271,132,
19,0,1.536623955,141,
property_id,abstract_time,total_time,size,5_3
0,0,0.888933182,310,
1,0,0.878985882,310,
2,0,0.749018431,310,
3,0,0.835356712,310,
4,0,0.903105736,310,
5,0,0.876255989,310,
6,0,0.889880657,310,
7,0,0.862589359,310,
8,0,0.867846727,310,
9,0,1.039979458,310,
10,0,0.923497915,310,
11,0,0.835701227,310,
12,0,0.905711889,310,
13,0,0.733636856,310,
14,0,0.75194025,310,
15,1.378989458,1.519804239,106,
16,0,0.856735468,310,
17,0,0.860634327,310,
18,0,0.924091339,310,
19,0,0.841506004,310,
property_id,abstract_time,total_time,size,5_4
0,1.470639944,1.544319153,104,
1,0,1.149003267,310,
2,0,0.969855547,310,
3,1.427299738,1.479123592,89,
4,0,1.11967206,310,
5,0,1.045634747,310,
6,0,1.13638258,310,
7,0,1.136128902,310,
8,0,1.283680201,310,
9,0,0.96899581,310,
10,0,1.140900612,310,
11,0,1.095080137,310,
12,0,1.27450633,310,
13,0,0.994066477,310,
14,0,1.028808594,310,
15,0,1.161323071,310,
16,0,1.212193251,310,
17,0,1.149344206,310,
18,0,1.222681046,310,
19,0,1.156425714,310,
property_id,abstract_time,total_time,size,5_5
0,0,1.011487007,310,
1,0,1.070511818,310,
2,,3600,,
3,1.744455814,25.3720572,175,
4,0,1.199112415,310,
5,0,1.209601641,310,
6,0,1.121705055,310,
7,0,1.09813714,310,
8,2.0980165,5.646072865,174,
9,0,1.035278797,310,
10,0,1.241837263,310,
11,0,1.280537844,310,
12,0,1.187680006,310,
13,2.183081627,2.354637623,121,
14,2.271981478,2.665321827,132,
15,2.048383713,17.36019373,173,
16,0,1.013355255,310,
17,0,1.131851196,310,
18,0,1.222070694,310,
19,0,1.183542728,310,
property_id,abstract_time,total_time,size,5_6
0,0,1.130833626,310,
1,0,1.274484634,310,
2,2.107088566,2.421981812,132,
3,2.392127752,5.287338495,163,
4,0,1.243185997,310,
5,0,1.394212723,310,
6,0,1.413906574,310,
7,,3600,,
8,0,1.344069719,310,
9,0,1.41435957,310,
10,0,1.388329744,310,
11,0,1.451821327,310,
12,0,1.426580429,310,
13,2.013386011,2.683029652,158,
14,0,1.29981184,310,
15,2.345543385,2.462262392,117,
16,0,1.17011261,310,
17,0,1.225876093,310,
18,0,1.215578318,310,
19,0,1.436686754,310,
property_id,abstract_time,total_time,size,5_7
0,1.788008451,1.936349392,118,
1,0,1.098004818,310,
2,0,0.957155943,310,
3,1.749711514,4.174305916,135,
4,0,1.127389193,310,
5,0,1.399436951,310,
6,0,1.275840282,310,
7,0,1.15791893,310,
8,0,1.238050938,310,
9,2.062863588,2.538661718,140,
10,0,1.232139349,310,
11,0,1.341779709,310,
12,0,1.337610722,310,
13,0,1.146894693,310,
14,0,1.473820686,310,
15,2.215467453,5.098484278,175,
16,0,1.174915552,310,
17,0,1.103603125,310,
18,0,1.121822834,310,
19,0,1.045198917,310,
property_id,abstract_time,total_time,size,5_8
0,1.887384415,3.183823586,141,
1,0,1.14833498,310,
2,1.548830271,1.755982876,104,
3,1.698284149,63.32965612,184,
4,0,1.044974566,310,
5,0,1.212008953,310,
6,0,1.224133015,310,
7,0,1.211695433,310,
8,0,1.120653152,310,
9,2.323235989,8.587996483,167,
10,0,1.198800087,310,
11,,3600,,
12,0,1.186374903,310,
13,1.748564005,1.851087332,113,
