property_id,abstract_time,total_time,size,1_1
18,12.66086458,618.852426,809,
19,21.376886,3318.970992,783,
property_id,abstract_time,total_time,size,3_3
0,21.89529024,1560.848506,910,
1,18.41345833,1487.174323,803,
2,15.55067256,1579.558519,903,
3,14.14372383,1477.775023,910,
4,22.01776296,1450.262388,910,
5,,3600,,
6,14.83408549,1574.880031,822,
7,16.98237224,2497.390577,758,
8,15.98354315,2164.818521,769,
9,15.58260639,1626.059113,822,
10,14.95666196,1270.226105,910,
11,19.34573343,1313.541652,910,
12,15.42433098,1302.994097,910,
13,20.15482122,1393.384723,904,
14,19.75528133,1750.632411,910,
15,14.27879985,1720.203625,849,
16,7.614980144,1698.386549,910,
17,19.81829983,1388.513501,910,
18,20.93227717,1086.196994,884,
19,16.15288906,1437.086649,910,
property_id,abstract_time,total_time,size,3_4
0,16.22090179,2269.557167,910,
1,18.92423127,2087.141016,784,
2,10.28369193,1630.137198,910,
3,,3600,,
4,20.84815612,1564.247766,821,
5,16.48879559,1954.147555,886,
6,14.63626427,1559.098739,910,
7,,3600,,
8,23.02889191,1300.917821,910,
9,10.30605099,1269.390211,910,
10,18.52934021,2046.646094,910,
11,15.00111224,1402.747251,769,
12,18.44988366,1485.734197,750,
13,16.51623854,1321.574619,910,
14,16.73181476,1444.111318,794,
15,13.61779985,1493.146615,758,
16,15.05744342,1537.89495,910,
17,15.26917493,1702.892229,903,
18,19.73090968,1373.272827,813,
19,,3600,,
property_id,abstract_time,total_time,size,3_5
0,10.26462957,1648.027927,812,
1,19.68350821,1763.208545,873,
2,13.16722762,2305.000032,710,
3,16.83955659,1157.094516,910,
4,13.14746765,1347.948477,910,
5,11.52875715,1652.719865,910,
6,9.46234846,1424.244847,906,
7,,3600,,
8,14.02440894,1543.89322,749,
9,16.61095734,1561.830788,910,
10,,3600,,
11,16.6276902,1779.974817,813,
12,16.14736381,1703.669701,872,
13,14.49921864,1559.449014,910,
14,14.93947913,1298.470528,910,
15,12.49455519,1452.69052,910,
16,17.11386401,2885.38891,745,
17,17.07063085,1471.462529,841,
18,16.26592615,1953.593267,737,
19,12.75718183,2393.146464,910,
property_id,abstract_time,total_time,size,3_6
0,17.22350805,1555.871876,910,
1,15.64747032,1543.928238,910,
2,15.4793045,1481.430117,910,
3,,3600,,
4,14.31024182,1453.64633,910,
5,13.44549449,3207.731863,910,
6,19.401905,1237.862969,910,
7,,3600,,
8,13.64375926,2505.449828,796,
9,16.17521203,1592.555301,910,
10,,3600,,
11,14.19950095,1990.110079,866,
12,13.13496816,1979.802451,910,
13,15.9224117,1858.446286,910,
14,15.47789825,1603.491568,789,
15,15.98325639,1281.106951,910,
16,,3600,,
17,14.91675026,1774.987102,826,
18,11.94030625,1345.164095,869,
19,19.4215074,1612.900413,910,
property_id,abstract_time,total_time,size,3_7
0,18.62647154,1533.06179,853,
1,15.9247445,1629.751066,642,
2,14.568992,1464.736881,904,
3,8.579139805,2815.79953,910,
4,12.43259393,2435.987902,910,
5,,3600,,
6,14.37954546,1514.796265,910,
7,,3600,,
8,20.37798003,1718.703892,910,
