property_id,network_id,property_id,abstract_time,total_time
8,3_3,8,,3600
9,3_3,9,,3600
10,3_3,10,10.15857444,1793.309556
11,3_3,11,,3600
12,3_3,12,14.94420198,1282.119068
13,3_3,13,15.37938239,1795.501134
14,3_3,14,17.77487938,1776.96868
15,3_3,15,19.31866622,3167.533309
16,3_3,16,11.31005974,1753.352234
17,3_3,17,,3600
18,3_3,18,,3600
19,3_3,19,13.143782,2490.589588
property_id,network_id,property_id,abstract_time,total_time
0,3_4,0,23.26343918,1586.293315
1,3_4,1,14.98184545,1166.393765
2,3_4,2,17.99034062,3145.051747
3,3_4,3,,3600
4,3_4,4,17.86468537,1567.435194
5,3_4,5,17.52596909,1551.668856
6,3_4,6,18.2934352,3320.037524
7,3_4,7,17.5249875,1600.06847
8,3_4,8,,3600
9,3_4,9,,3600
10,3_4,10,,3600
11,3_4,11,,3600
12,3_4,12,,3600
13,3_4,13,17.25904605,2171.754319
14,3_4,14,15.91918579,2469.643319
15,3_4,15,14.11972474,2840.68093
16,3_4,16,15.34526439,1427.025377
17,3_4,17,,3600
18,3_4,18,,3600
19,3_4,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,3_5,0,14.09795607,1859.037748
1,3_5,1,14.80379285,1555.834358
2,3_5,2,,3600
3,3_5,3,,3600
4,3_5,4,19.29426694,1391.276683
5,3_5,5,13.86749919,1336.347078
6,3_5,6,11.65745711,1282.889088
7,3_5,7,9.84640085,1763.556531
8,3_5,8,,3600
9,3_5,9,,3600
10,3_5,10,,3600
11,3_5,11,,3600
12,3_5,12,,3600
13,3_5,13,14.55187259,1890.304472
14,3_5,14,,3600
15,3_5,15,,3600
16,3_5,16,17.80023583,1745.142754
17,3_5,17,,3600
18,3_5,18,,3600
19,3_5,19,18.85898505,2439.444258
property_id,network_id,property_id,abstract_time,total_time
0,3_6,0,,3600
1,3_6,1,,3600
2,3_6,2,,3600
3,3_6,3,,3600
4,3_6,4,12.57978374,2954.866385
5,3_6,5,,3600
6,3_6,6,13.46939594,1686.651115
7,3_6,7,,3600
8,3_6,8,,3600
9,3_6,9,,3600
10,3_6,10,,3600
11,3_6,11,,3600
12,3_6,12,,3600
13,3_6,13,,3600
14,3_6,14,,3600
15,3_6,15,,3600
16,3_6,16,13.81672877,1924.359367
17,3_6,17,,3600
18,3_6,18,,3600
19,3_6,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,3_7,0,,3600
1,3_7,1,15.44927747,2328.154427
2,3_7,2,14.17817893,3445.996559
3,3_7,3,,3600
4,3_7,4,9.683057248,1642.111917
5,3_7,5,15.44348104,1726.043574
6,3_7,6,,3600
7,3_7,7,,3600
8,3_7,8,,3600
9,3_7,9,,3600
10,3_7,10,,3600
11,3_7,11,,3600
12,3_7,12,,3600
13,3_7,13,,3600
14,3_7,14,10.09071202,1978.210584
15,3_7,15,16.68607983,3325.333591
16,3_7,16,14.82606602,1445.075113
17,3_7,17,,3600
18,3_7,18,,3600
19,3_7,19,18.0507716,1789.87387
property_id,network_id,property_id,abstract_time,total_time
0,3_8,0,,3600
1,3_8,1,18.39534124,1356.098893
2,3_8,2,,3600
3,3_8,3,,3600
4,3_8,4,21.1577648,3233.336185
5,3_8,5,17.51582151,1840.933015
6,3_8,6,16.05026198,1606.340383
7,3_8,7,,3600
8,3_8,8,,3600
9,3_8,9,,3600
10,3_8,10,,3600
11,3_8,11,,3600
12,3_8,12,,3600
13,3_8,13,17.2362587,1680.231506
14,3_8,14,16.91643946,1445.169249
15,3_8,15,19.23068203,2599.564508
16,3_8,16,,3600
17,3_8,17,,3600
18,3_8,18,,3600
19,3_8,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,3_9,0,,3600
1,3_9,1,,3600
2,3_9,2,11.699287,3469.114053
3,3_9,3,,3600
4,3_9,4,17.73676989,1741.739107
5,3_9,5,14.06576041,1371.933287
6,3_9,6,,3600
7,3_9,7,,3600
8,3_9,8,,3600
9,3_9,9,,3600
10,3_9,10,,3600
11,3_9,11,24.50952666,3380.563019
12,3_9,12,,3600
13,3_9,13,,3600
14,3_9,14,,3600
15,3_9,15,,3600
16,3_9,16,,3600
17,3_9,17,,3600
18,3_9,18,,3600
19,3_9,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,4_1,0,,3600
1,4_1,1,,3600
2,4_1,2,,3600
3,4_1,3,,3600
4,4_1,4,21.68303421,1145.924685
5,4_1,5,,3600
6,4_1,6,,3600
7,4_1,7,,3600
8,4_1,8,,3600
9,4_1,9,,3600
10,4_1,10,,3600
11,4_1,11,,3600
12,4_1,12,,3600
13,4_1,13,15.06848797,2116.117308
14,4_1,14,,3600
15,4_1,15,,3600
16,4_1,16,,3600
17,4_1,17,,3600
18,4_1,18,,3600
19,4_1,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,4_2,0,,3600
1,4_2,1,13.20267476,2211.289306
2,4_2,2,,3600
3,4_2,3,,3600
4,4_2,4,16.88364111,2970.157171
5,4_2,5,,3600
6,4_2,6,17.17389063,3085.21127
7,4_2,7,,3600
8,4_2,8,,3600
9,4_2,9,,3600
10,4_2,10,,3600
11,4_2,11,,3600
12,4_2,12,19.0601186,3472.867258
13,4_2,13,,3600
14,4_2,14,,3600
15,4_2,15,,3600
16,4_2,16,,3600
17,4_2,17,,3600
18,4_2,18,,3600
19,4_2,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,4_3,0,,3600
1,4_3,1,18.20167262,2352.567572
2,4_3,2,,3600
3,4_3,3,,3600
4,4_3,4,17.86952345,1395.569808
5,4_3,5,,3600
6,4_3,6,,3600
7,4_3,7,,3600
8,4_3,8,,3600
9,4_3,9,,3600
10,4_3,10,16.31931026,3442.655335
11,4_3,11,,3600
12,4_3,12,16.26568604,1901.252672
13,4_3,13,17.23269437,2869.8406
14,4_3,14,,3600
15,4_3,15,,3600
16,4_3,16,11.05681056,2873.491719
17,4_3,17,,3600
18,4_3,18,,3600
19,4_3,19,14.30057644,2138.224551
property_id,network_id,property_id,abstract_time,total_time
0,4_4,0,,3600
1,4_4,1,16.08846505,2794.034611
2,4_4,2,,3600
3,4_4,3,12.52705953,3480.088106
4,4_4,4,14.8712018,1835.005896
5,4_4,5,14.78100716,1832.540065
6,4_4,6,17.56197485,1229.004086
7,4_4,7,,3600
8,4_4,8,19.18495561,2879.523315
9,4_4,9,9.507732863,1954.134321
10,4_4,10,,3600
11,4_4,11,,3600
12,4_4,12,15.13576617,3040.643243
13,4_4,13,21.97818592,1401.756304
14,4_4,14,14.56230259,2793.947909
15,4_4,15,17.17903167,2696.714092
16,4_4,16,17.70418767,2517.240058
17,4_4,17,,3600
18,4_4,18,,3600
19,4_4,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,4_5,0,,3600
1,4_5,1,,3600
2,4_5,2,,3600
3,4_5,3,,3600
4,4_5,4,18.6080416,1686.603887
5,4_5,5,16.22539486,2349.56833
6,4_5,6,15.60478184,2568.52819
7,4_5,7,,3600
8,4_5,8,,3600
9,4_5,9,,3600
10,4_5,10,15.31145606,3428.984479
11,4_5,11,,3600
12,4_5,12,,3600
13,4_5,13,,3600
14,4_5,14,14.45868724,2093.366261
15,4_5,15,,3600
16,4_5,16,19.7207499,1877.750477
17,4_5,17,,3600
18,4_5,18,,3600
19,4_5,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,4_6,0,,3600
1,4_6,1,,3600
2,4_6,2,16.44061936,2549.082307
3,4_6,3,,3600
4,4_6,4,12.29540263,1745.576108
5,4_6,5,23.14889885,3016.697239
6,4_6,6,7.584612164,1456.202114
7,4_6,7,,3600
8,4_6,8,17.91345175,3121.266568
9,4_6,9,,3600
10,4_6,10,17.03273343,2547.919333
11,4_6,11,,3600
12,4_6,12,,3600
13,4_6,13,,3600
14,4_6,14,,3600
15,4_6,15,,3600
16,4_6,16,17.49754117,1143.536037
17,4_6,17,,3600
18,4_6,18,,3600
19,4_6,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,4_7,0,,3600
1,4_7,1,,3600
2,4_7,2,,3600
3,4_7,3,,3600
4,4_7,4,,3600
5,4_7,5,,3600
6,4_7,6,,3600
7,4_7,7,,3600
8,4_7,8,,3600
9,4_7,9,,3600
10,4_7,10,,3600
11,4_7,11,,3600
