property_id,abstract_time,total_time,size,1_1
6,,3600,,
7,,3600,,
8,42.15002346,1113.914226,910,
9,,3600,,
10,41.61120939,1462.750049,910,
11,,3600,,
12,,3600,,
13,39.78982043,914.4879279,910,
14,41.78269053,1420.042645,910,
15,,3600,,
16,,3600,,
17,43.20800281,1359.801085,910,
18,,3600,,
19,41.31024933,969.2511344,910,
property_id,abstract_time,total_time,size,3_1
0,,3600,,
1,41.29302573,755.5580065,910,
2,40.96156263,3498.78552,910,
3,39.16399503,1029.476418,910,
4,,3600,,
5,41.00607514,941.5625188,910,
6,,3600,,
7,,3600,,
8,41.22223258,2496.873814,909,
9,40.86359763,794.5143688,910,
10,,3600,,
11,,3600,,
12,,3600,,
13,40.63226032,1875.520334,908,
14,39.40184307,1046.33824,910,
15,,3600,,
16,,3600,,
17,41.05282521,771.3847773,910,
18,42.13094115,2597.35969,908,
19,,3600,,
property_id,abstract_time,total_time,size,3_2
0,,3600,,
1,41.14452577,1552.990641,910,
2,,3600,,
3,42.77965498,1371.631761,910,
4,,3600,,
5,,3600,,
6,,3600,,
7,,3600,,
8,41.4574213,1007.72316,910,
9,,3600,,
10,,3600,,
11,,3600,,
12,,3600,,
13,41.47400188,982.9889517,910,
14,,3600,,
15,,3600,,
16,,3600,,
17,42.90879178,1254.442554,910,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,3_3
0,,3600,,
1,,3600,,
2,,3600,,
3,42.10664201,824.2152393,910,
4,,3600,,
5,41.15190935,1537.589119,910,
6,,3600,,
7,,3600,,
8,43.38825512,796.1008959,909,
9,41.76162553,1375.557098,908,
10,43.07019114,2920.763211,910,
11,,3600,,
12,41.75656009,1568.145827,910,
13,42.63253689,1242.934824,909,
14,41.54052424,1239.812333,910,
15,,3600,,
16,,3600,,
17,37.68369055,839.9982641,910,
18,,3600,,
19,41.69830823,2485.692666,910,
property_id,abstract_time,total_time,size,3_4
0,42.52386665,894.8951097,906,
1,41.33798695,2815.52521,900,
2,,3600,,
3,,3600,,
4,,3600,,
5,,3600,,
6,0,2.28293705,910,
7,,3600,,
8,,3600,,
9,,3600,,
10,,3600,,
11,,3600,,
12,,3600,,
13,,3600,,
14,,3600,,
15,,3600,,
16,,3600,,
17,43.52629447,2864.580363,910,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,3_5
0,,3600,,
1,,3600,,
2,,3600,,
3,41.39276361,1628.701764,910,
4,39.72511077,1881.298931,908,
5,,3600,,
6,42.91703176,60.17608309,710,
7,,3600,,
8,,3600,,
9,42.94832611,850.8590288,910,
10,41.68738484,2813.279258,910,
11,,3600,,
12,42.6209166,1897.146045,907,
13,42.60200119,1741.026253,906,
14,,3600,,
15,,3600,,
16,,3600,,
17,42.9359262,3128.221052,910,
18,42.50878668,2737.636027,910,
19,,3600,,
property_id,abstract_time,total_time,size,3_6
0,,3600,,
1,,3600,,
2,,3600,,
3,42.8237288,1651.245365,908,
4,39.58750844,1019.850129,910,
5,,3600,,
6,41.43377757,1265.619854,910,
7,,3600,,
8,41.42652702,1041.918484,910,
9,,3600,,
10,,3600,,
11,,3600,,
12,,3600,,
13,,3600,,
14,42.84542108,1685.502093,910,
15,41.15405369,977.2505355,910,
16,,3600,,
17,,3600,,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,3_7
0,,3600,,
1,41.87145042,3445.925997,910,
2,,3600,,
3,42.9694953,888.6018994,910,
4,,3600,,
5,,3600,,
6,0,2.433596134,910,
7,,3600,,
8,42.75627375,1697.107882,910,
9,,3600,,
10,,3600,,
11,,3600,,
12,,3600,,
13,42.97108388,1911.19215,910,
14,,3600,,
15,41.36567259,1565.511839,910,
16,,3600,,
17,41.57546902,1046.487013,906,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,3_8
0,,3600,,
1,,3600,,
2,,3600,,
3,,3600,,
4,43.4714644,1909.763252,910,
5,,3600,,
6,,3600,,
7,,3600,,
8,41.6334343,1233.793832,910,
9,,3600,,
10,41.11479783,1017.9393,907,
11,,3600,,
12,,3600,,
13,43.35036993,1350.508277,904,
14,41.14998651,2479.350822,903,
15,41.3741715,2515.555814,906,
16,,3600,,
17,43.34261441,2948.397009,910,
18,,3600,,
19,41.19269395,1815.706595,910,
property_id,abstract_time,total_time,size,3_9
0,,3600,,
1,,3600,,
2,,3600,,
3,41.60659361,843.5892701,906,
4,42.53942609,2877.477315,910,
5,,3600,,
6,,3600,,
7,,3600,,
8,42.50975251,1174.136898,910,
9,,3600,,
10,42.47868991,3322.259243,904,
11,,3600,,
12,,3600,,
13,,3600,,
14,,3600,,
15,,3600,,
16,,3600,,
17,,3600,,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,4_1
0,,3600,,
1,,3600,,
2,,3600,,
3,,3600,,
4,,3600,,
5,,3600,,
6,43.24642491,1681.785667,909,
7,,3600,,
8,,3600,,
9,42.79048991,1244.939569,910,
10,43.59045053,1718.643411,909,
11,,3600,,
12,,3600,,
13,,3600,,
14,,3600,,
15,,3600,,
16,,3600,,
17,43.22205758,1114.019338,910,
18,41.77076364,3114.670832,909,
19,,3600,,
property_id,abstract_time,total_time,size,4_2
0,,3600,,
1,,3600,,
2,,3600,,
3,,3600,,
4,,3600,,
5,,3600,,
6,42.93419027,59.75725961,710,
7,,3600,,
8,,3600,,
9,,3600,,
10,,3600,,
11,,3600,,
12,,3600,,
13,,3600,,
14,,3600,,
15,,3600,,
16,,3600,,
17,,3600,,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,4_3
0,,3600,,
1,,3600,,
2,,3600,,
3,41.08724999,2060.185776,910,
4,,3600,,
5,,3600,,
6,0,2.220686436,910,
7,,3600,,
8,41.12847161,3411.423965,910,
9,,3600,,
10,40.92628574,3391.863421,910,
11,,3600,,
12,,3600,,
13,40.97953868,980.3601909,910,
14,41.02224469,2254.191578,910,
15,,3600,,
16,,3600,,
17,,3600,,
18,42.76801515,2961.062157,910,
19,,3600,,
property_id,abstract_time,total_time,size,4_4
0,,3600,,
1,,3600,,
2,,3600,,
3,41.64131093,1419.630629,910,
4,42.82544899,3043.065664,910,
5,,3600,,
6,,3600,,
7,,3600,,
8,43.38122463,909.800622,910,
9,,3600,,
10,,3600,,
11,,3600,,
12,42.84564185,1710.995227,910,
13,,3600,,
14,41.63427258,3370.598294,910,
15,41.33373618,2404.524355,910,
16,,3600,,
17,41.28218269,1349.021289,910,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,4_5
0,,3600,,
1,,3600,,
2,,3600,,
3,,3600,,
4,,3600,,
5,,3600,,
6,,3600,,
7,,3600,,
8,,3600,,
9,,3600,,
10,,3600,,
11,,3600,,
12,,3600,,
13,,3600,,
14,,3600,,
15,,3600,,
16,,3600,,
