property_id,property_id,abstract_time,total_time,size
14,14,0,2.290636063,442
15,15,0,1.893199444,403
16,16,0,2.14871335,490
17,17,0,1.540847063,320
18,18,0,2.130800486,453
19,19,0,1.79425621,336
property_id,property_id,abstract_time,total_time,size
0,0,4.209697485,456.1320031,237
1,1,3.384961605,10.24312711,208
2,2,6.279482603,643.8192725,250
3,3,2.470001936,15.3045764,194
4,4,4.351447821,42.69286656,227
5,5,3.2782166,96.00241041,228
6,6,2.857167006,165.9274633,230
7,7,3.210044622,221.4054432,227
8,8,2.281409502,23.09039593,194
9,9,4.579889297,61.18504667,225
10,10,6.583053112,31.10520172,234
11,11,2.671036482,270.2851543,219
12,12,2.83985281,34.89297318,205
13,13,2.685508966,3.114732265,148
14,14,5.533297062,48.51900268,217
15,15,4.688719749,96.94239187,233
16,16,6.953971386,776.9064162,253
17,17,2.174899578,8.122979641,181
18,18,4.673592806,776.1059151,236
19,19,4.799791813,246.9912453,241
property_id,property_id,abstract_time,total_time,size
0,0,5.014311314,288.5879648,237
1,1,6.497248888,23.75168753,220
2,2,3.738121986,345.3135705,234
3,3,3.551831007,29.99711537,225
4,4,3.290274858,126.4525044,229
5,5,4.554834604,102.6389215,232
6,6,4.156042337,993.3866932,237
7,7,,3600,
8,8,2.46564126,44.80256772,228
9,9,5.523317575,460.6593733,248
10,10,3.203412294,20.08336735,208
11,11,4.976190567,135.5720153,238
12,12,5.542122841,12.4473362,218
13,13,3.571279764,28.49363875,226
14,14,2.398786068,6.019580841,186
15,15,7.461103439,136.6430204,230
16,16,5.225311041,848.1602046,253
17,17,2.407105923,2.890043974,139
18,18,4.371981859,79.11376882,228
19,19,3.241055727,17.6244719,209
property_id,property_id,abstract_time,total_time,size
0,0,3.645422459,50.30287933,226
1,1,2.308520079,3.700759411,181
2,2,4.281738758,22.46071458,218
3,3,5.008212566,12.65677524,211
4,4,3.97410059,71.95951772,250
5,5,4.413269997,19.11554503,229
6,6,5.860961914,2717.619629,260
7,7,5.6315341,1266.633371,248
8,8,6.460175991,20.3579092,219
9,9,6.829614401,67.48532176,246
10,10,2.108442545,3.115686655,188
11,11,4.014428377,122.3579855,249
12,12,6.272593021,25.60268331,234
13,13,4.38863945,10.20411277,232
14,14,3.345352173,3.848176003,199
15,15,6.504175663,55.00395203,247
16,16,4.071149826,2504.096391,249
17,17,3.470556021,24.66294241,255
18,18,3.987349987,93.55167699,227
19,19,2.569061518,3.113174438,201
property_id,property_id,abstract_time,total_time,size
0,0,4.263428688,99.96566582,217
1,1,4.541552305,51.27959728,186
2,2,4.721699953,21.61359382,201
3,3,6.638914824,18.50363016,205
4,4,3.079111576,66.72526908,229
5,5,5.009678841,216.1871533,242
6,6,0,1.986539364,416
7,7,6.707797766,749.7970371,231
8,8,3.106472492,4.239691019,188
9,9,2.794609547,61.51514482,208
10,10,2.615190744,8.880367994,179
11,11,3.473782778,1833.384877,246
12,12,6.357061386,94.51018977,213
13,13,4.961138487,69.41841316,225
14,14,4.63914156,87.89907193,232
15,15,4.717816591,412.97261,234
16,16,,3600,
17,17,,3600,
18,18,4.08402276,97.96101713,229
19,19,3.652723312,396.1204038,202
property_id,property_id,abstract_time,total_time,size
0,0,5.287405729,436.0158889,204
1,1,4.115067959,24.03104758,213
2,2,2.408549547,112.3426397,184
3,3,3.082675457,30.78771782,206
4,4,3.847757578,43.72450876,226
5,5,2.810725451,60.27753544,201
6,6,0,2.185133457,461
7,7,3.196439505,324.4561553,222
8,8,1.911854267,2.375490189,136
9,9,4.154982805,69.72176933,216
10,10,3.338771105,98.51522136,198
11,11,2.759559631,218.1999388,212
12,12,2.513846874,44.69853687,168
13,13,3.164628744,33.34108853,196
14,14,3.477496624,11.68022776,207
